,text,label
29,"अर्थमन्त्री शर्माको खुलासा:एमसीसी सहमतिमा पारित,देउवा प्रचण्ड गठबन्धन निरन्तर,माओवादीमा परिवर्तन",2
30,"प्रचण्डको सनसनीपूर्ण खुलासा, माधव, बाबुराम, बैद्य र विप्लवसहितको नयाँ पार्टी बनाउने",2
31,धुर्मुस र रविलाई गाली गरेर थाकेनन् हेम थापा | GLAMOUR GUFF | Epi 65 | PRAKASH SUBEDI | HEM THAPA,2
32,"सीपी गजुरेलको खुलासा: प्रचण्डसँग एकताका लागि यस्तो छ प्रस्ताव; बैद्य, बाबुराम र बिप्लवले के गर्लान ?",2
33,"ओलीसँग अध्यक्षमा पराजित भएका भीम रावलको पहिलो अन्तरवार्ता, पार्टीभित्र यो हदसम्मको षड्यन्त्र भयो ।",2
35,गोकुले   भन्न बितिकै ७० करोड को मात्र  याद आउँछ।७० करोड  ७० करोड,2
37,किन ल्याको यसलाई ? सत्तरी करोडको अनुहार देख्न पनि मन छैन।,2
40,यस्ता भ्रष्टहरुलाई रोजेर पठाउने हामी जनता कस्ता भन्या?,2
41,कति चुरिफुरी यस्को ।,2
45,के बोलेको होला यो 70 ले संसद विगठन नै यो अवस्थाको जड हो भन्ने किन बिर्सेकाे?,2
48,MCC अब पास हुन्छ त्यो पनि गठबन्धन जोगाउनको निमित्त🤬😠😡,2
55,70 करोड कता कता लगानी गर्नु भयो जानकारी पाईन्छकी???,2
66,एक पटक गोकुल बास्कोटा र ज्ञानेन्द्र शाही बिच छलफल गर्नुपर्ने भो ऋषिजी,2
67,हाजिरी जवाफ मा आको होइन रिसि जि 🤣🤣🤣,2
69,"mccल्याए भाे भन्ने हाेईन , mccलाै लेराअाे त  भन्ने हाे ।देश र जनताकाे हित हुदैन भन्ने थाहा भाे mccकाम रैनछ भन्ने हाे ।खबरदार mcc पास हुन दिने हाेईन ।",2
72,राजेन्द्र लिङ्देलले भने जस्तै,2
73,"सत्तरी करोडौंको सन्दर्भमा ऋषि धमलाले सत्र पटक सोधिएको देखें ,धमलालाई मेरो प्रश्न हिजो सरकार बाहिर हुँदा बिरोध गर्नेहरु अहिले सरकारमा छ किन छानबिन नगरेको भनेर सोध्ने कि?काण्डहरु किन छानबिन  नगरेको कहिले गर्ने भनेर र्‍याखर्‍याकी पर्ने कि?",2
79,सबै भन्दा पहिले  कानुन् मिचेर ७० करोड को भ्रष्टचार  गर्ने गोकुल बास्कोटा ले राजिनामा दिनु पर्छ,2
90,क्या दिन्छ गोकुले ब्रो 🙈🙈,2
93,७० करोड ले अलि बढी गफ दिन्छ,2
96,होइन यो उखाने को छोरो हो भन्दैमा 70 करोड- वाला गोकुले ले पनि हसाउनु पर्ने हो र हिजो उसको पार्टी हुदा सबै ठिक गरेको रे अहिले बाहिरिय पछि यो सरकार ले केहि गर्न सकेना रे कति हास्नु हो अब त तिमीहरु Perfect 👍 भैसकेछ साप्ताहिक उखान टुक्का कारेक्रम चलाउदा हुन्छ all the best 👍👏,2
97,जस्तो गुरु त्यस्तै चेला।,2
98,गोकुल  जि ले गर्नु हुन्छ,2
99,मर्ने बेलामा लामो सास फेर्छ तेस्तै होला नि झुम्रेड।।।,2
100,70 करोड पनि नक्कली हो भन न ।,2
101,यो चोरलाइ किन घरीघरी अन्तरबार्ताको लागि बोलाउछौ धमला बुढा?,2
104,आमा को कुरा मामा संग नगर्नुस् न धमला जी,2
111,गोकुलेको पर्यायवाची सत्तरी करोड 🤣🤣,2
113,यो गाउँको ठिट्टो म,2
115,70करोड त बाहिर आयो अझ यिनले कति खायो होला,2
119,मलाई पनि चाईयो बोरा बोरा पैसा 🤣🤣,2
120,ए मा ले को चुनाव चिन्न्ह गोकुल बास्कोटा,2
121,70 करोडले ठुलो ठुलो कुरो गर्दै छ त,2
124,डलर सन्चितित 70 मा भा छ,2
125,हेरौला रे 😁😁😁😁😁😁😁क्मेदी च्याम्पियन को जज मनोज सर ले यो सुनेर कमेन्ट गर्नु भो.....करोड 70 करोड ......त्यस पछि मेरो जो चोर उसैको ठुलो सोर।इनि भन्दा ठुलो चोर को होला? लाज सरम भन्ने छैन अझ ठुलो कुरा गर्छ जनताले मलाइ के भन्छ्न भन्ने पनि नहुने😁😁चुनाब जित्ने रे थु,2
126,स्वदेशी बिदेसी छदमबेसी न सकिने भयो कडा,2
127,70 carod खाएर ठूलो कुरा गर्छ,2
130,नक्कली टेप 😂😂😂,2
132,बोल्न चै निडर नेता हो गोकुल बास्कोटा ज्यु ।,2
134,70 करोड वाला अझ कति चुरिफुरी गर्छ थुक्क,2
135,७० करोड बाडौ न सोल्टि,2
136,रा प्र पा संग सह यात्रा गर्छ एमाले ले,2
137,70 पछि अरु कति हो अब केही समय रोकिएकोमा किन रिसाउनु हुन्छ नेता ज्यु.,2
141,यो गोकुले को दिमागमा केही समस्या छ जस्तो छ,2
144,तामाङ,2
145,जनजाति जस्ता अहिलेसम्म दमनमा परेकाहरुलाइ कोटा छुटाउदा गाली गर्नेहरुले क्षमता नभएको मान्छे आउछन् रे तिमीहरूको नियम र कानुनले यस्तै क्षमता भएको मान्छे ल्याउछन।,2
146,पागलपना...,2
149,ल हेर यस्को दम्भ,2
152,७० करोड बास्कोटा,2
153,"बुढाले नि उखान टुक्का दिने रैछ,,",2
155,लाटा गाउको गाडा तन्नेरी नेता हरु,2
156,यिनै अनुहार अघि सारे एमाले पत्तासाफ निश्चित छ।,2
157,70 करोड कम भयो ?,2
163,बो लकड … ओलीको लकड गोकुल जी,2
165,70 होइन अब ब्याज सहित 75पुगि सक्यो हो,2
167,"आज सम्म एमाले को सरकार भको भए लालपुर्जा पाईन्थ्यो होला, गठबंधन सरकार ले डुबायो।",2
169,सत्तरी करोडका एक्ला मालिक गोप्ले काजि ज्यु लाई सत्तरी पटक जदौ गर्दछु🤣🤣🤣🤣,2
170,काभेली जनता को ढुकढुकी आदरणीय ७० करोड (गाई को अनुहार परेको गोरु ),2
171,यो रिखी धमलाले सुर्जे र गोकुले बाहेक अरु गेस्ट पाउदैन,2
174,यस्ता नेता त पालेको छ केपि ओली ले,2
176,70 कुमार,2
177,चुनाव मा माकुनेको हालत के हुन्छ जन्तालाइ राम्रो थाछ १७000को त कुरानै नगरुम,2
180,माधब कुमारले चुनावजितेकाहुन् भने अब जितेर देखाउनु पर्याे ऋषि जि।पत्रकार जि सहि विश्लेषण गर्न तपाइलाइ केले छेकेकाे छ?खरखजना!!!!!!!,2
183,Yo ७९ करोड आयो फेरि आयो। घ म डी,2
184,हैन यो मान्छेलाइ किन जैल मा नकोचेको,2
185,७० करोड भ्रस्टाचार गर्नेको अन्तर्वार्ता के सुनिरहनु,2
187,सहि र हकि मानछे लागछ,2
188,सितल बङुर फार्म,2
189,पाध्छ अाज पनि   70 कराेड,2
190,70 करोड आवाज ल्याउनु बाहिरिनु कानुन सम्मत अनि चाहिँ माधब नेपाल कानुन बिपरित गरे के हो यो पारा फेरि म माधब नेपालको झोले हैन है झोले हरु,2
192,"हेप्नि, काेल्याप्स लाई पनि 70 कराेड ले जिन्दगी भर सताई रहने भयाे🤣🤣🤣",2
193,70 करोड आधा आधा गरुम काका म कति बिदेश मा दुख गर्नु तपाई लाइ साथ दिन लाउछु सेटिङ मिलाउदै गर्नु म अझै समर्थन ल्याउछु नि उनिहरुलाइ नि भाग दिनु पर्यो नि,2
195,नेपाली मन,2
197,"सबै भन्दा पहिला ७०कोरोड बेक्तिले राजीनामा दिनुपर्छ एमालेलाई राम्रो बनाउनको लागि, एमालेमा राम्रा मान्छेहरू पनि धेरै छन् यस्ता ",2
199,ऋषि धमला काङ्ग्रेसको मान्छे भएरहाेला खालि शेरबहादुर काे मात्र कुरा गर्छन्,2
200,रिसि धमला काईते पत्रकार भयो। खालि प्रचन्ड र माकुनेको पक्षमा मात्र बोल्छ।।पत्रकारत जनताको पक्षमा हुनुपर्छनि,2
201,खरो र प्रष्ट ठेट कुरो गर्ने संकाहा नेता गकुल बास्कोटा,2
203,नन्द ओलि गाउले,2
204,७० करोडको मालिक लाई कस्तो कस्तो कमेन्ट् आएको छ भनेर हेर्न आउने को को हुनुहुन्छ 🤟🤟🤟,2
208,मैले कति भनौ के भन्या किसान मजदुरलाई ल्याउनुस के,2
211,दिमाक तातेर आउछ भन्या यसको कुरा सुन्दा ।,2
212,नेपाली राजनीतिको हक्की नेता गोकुल बास्कोटा  रहेछ भन्ने कुरा थाहा भयो है।खुलम खुल्ला  च्यालेन्ज गर्दा पनि किन छानवीन नगर्या होला सरकार?,2
213,याे चाेरलाई के थाहा प्रचण्डले गर्दा खुलेआम सबैकाे बिराेध गर्नपाकाे छु भनेर।,2
215,हिजो एमाले राजनीति मा हिरो थ्यो अब विस्तार मा खस्किदैछ किनकि एमालेको प्रमुख केपि स्वमं आफ्नो सत्ता को लागि जे जस्तो रणनीतिज्ञ योजना अपनाउन सक्ने रहेछ। यो कायर देशद्रोही केपि आज mcc पक्ष मा ओकालत र द्रुष्ठ योजना परिकल्पना गर्दैछ।,2
216,केपी ओलि को भफादार कु.......,2
222,Kp को पालामा पहिला पहिला त खुब खेदो खन्थ्यो त खोई विकास गर्या भनेर त्यो विकास नदेख्ने आँखाले ऋषिको अनि अहिले को सरकारले के गर्यो त खोई ??? अहिले जताततै धूलो अनि कच्ची सडक omg ..पहिला त एउटा खाल्डो देख्न नहुने सामाजिक सञ्जाल मा खुब देखिन्थ्यो त अहिले खोई त बोल्या धमला jiiiiiiiiiii ????? खुडेले सुसल्ने हाम्रो देश के भन्ने यस्तालाई ।,2
225,👉️ एमाले मुर्दावाद 😠😠😠,2
229,गोकुले   भन्न बितिकै ७० करोड को मात्र  याद आउँछ।७० करोड  ७० करोड,2
235,कति चुरिफुरी यस्को ।,2
238,गोकुलजीले भनिसके त - भ्रस्टाचार गरेको रहेछ भने भन्नेहरुकै सबथोक छ छानबिन गरि प्रमाणिात गरेर देखाए भइहाल्यो नि!,2
239,के बोलेको होला यो 70 ले संसद विगठन नै यो अवस्थाको जड हो भन्ने किन बिर्सेकाे?,2
242,MCC अब पास हुन्छ त्यो पनि गठबन्धन जोगाउनको निमित्त🤬😠😡,2
246,गोकुल काकालाई मान्नैपर्छ बा। ७० करोडको टेप नक्कली रे। दिउसै रात पार्ने मान्छेहरुको नै बोलबाल छ देशमा। कति लाजै नमानी भन्न सकेको हो भने,2
249,70 करोड कता कता लगानी गर्नु भयो जानकारी पाईन्छकी???,2
250,"यिनले  प्रश्न उठे पछी राजिनामा दियो रे, नैतिकता देखायो, साची नै यिनी सहि रहेछन् भने यिनका के पि ले नैतिक्ता बेचेकै रहेछ भन्ने कुरो यिनैले प्रमानित गरेछन्् ।",2
252,100% खाकोई हो 70 करोड छाती थोकेर भन्छु   किनकी खाली पुस्ती गर पुस्ती गर भन्छ,2
253,"70 करोडको दम्ब अझै हेर्नु 😡😡😡😡,, कुन नेपाली जनताको कुरा??? तिमीहरूको भुस्सेहरु नेपाली जनताहरु होइन!!!!!",2
255,"हिजो दुइ तिहाइ को घमण्ड गर्नेको बाहिरिय पछीको रोदन हो ! बिचरा यो उखाने पार्टी ले केहि गर्नु सकेन अहिले अरुले गर्दछु भन्दा रोक्ने सहयोग नगर्ने अनि कसरी हुनछ देशमा बिकास ? अहिले अाएर ठिक लाग्यो सहि हो धमला सर ,",2
256,यो देस बाट सम्सोदिय ब्यबस्था नै खारेज गर्नु जरुरी छ । हैन भने देस को हालत सधै यस्तै रहन्छ ।,2
260,एक पटक गोकुल बास्कोटा र ज्ञानेन्द्र शाही बिच छलफल गर्नुपर्ने भो ऋषिजी,2
261,हाजिरी जवाफ मा आको होइन रिसि जि 🤣🤣🤣,2
262,माननीय ज्यु बोलिमा परिवर्तन हुनुपर्छ।,2
263,"mccल्याए भाे भन्ने हाेईन , mccलाै लेराअाे त  भन्ने हाे ।देश र जनताकाे हित हुदैन भन्ने थाहा भाे mccकाम रैनछ भन्ने हाे ।खबरदार mcc पास हुन दिने हाेईन ।",2
266,राजेन्द्र लिङ्देलले भने जस्तै,2
267,"सत्तरी करोडौंको सन्दर्भमा ऋषि धमलाले सत्र पटक सोधिएको देखें ,धमलालाई मेरो प्रश्न हिजो सरकार बाहिर हुँदा बिरोध गर्नेहरु अहिले सरकारमा छ किन छानबिन नगरेको भनेर सोध्ने कि?काण्डहरु किन छानबिन  नगरेको कहिले गर्ने भनेर र्‍याखर्‍याकी पर्ने कि?",2
273,सबै भन्दा पहिले  कानुन् मिचेर ७० करोड को भ्रष्टचार  गर्ने गोकुल बास्कोटा ले राजिनामा दिनु पर्छ,2
274,यो चोर लाई देख्यो त दिमाग तातियेर आउछ 😡😡😡,2
275,जबरजस्तीको कुरा गर्छ यार ।,2
278,जति सकिन्छ सफाई दिउँ ।,2
279,प्रस्न गर्नै जान्दैन हो यो धमला जी ले,2
284,क्या दिन्छ गोकुले ब्रो 🙈🙈,2
287,७० करोड ले अलि बढी गफ दिन्छ,2
288,70 करोड भ्रष्टाचारि केपि को पुच्छर,2
290,होइन यो उखाने को छोरो हो भन्दैमा 70 करोड- वाला गोकुले ले पनि हसाउनु पर्ने हो र हिजो उसको पार्टी हुदा सबै ठिक गरेको रे अहिले बाहिरिय पछि यो सरकार ले केहि गर्न सकेना रे कति हास्नु हो अब त तिमीहरु Perfect 👍 भैसकेछ साप्ताहिक उखान टुक्का कारेक्रम चलाउदा हुन्छ all the best 👍👏,2
291,जस्तो गुरु त्यस्तै चेला।,2
292,गोकुल  जि ले गर्नु हुन्छ,2
293,मर्ने बेलामा लामो सास फेर्छ तेस्तै होला नि झुम्रेड।।।,2
294,70 करोड पनि नक्कली हो भन न ।,2
298,आमा को कुरा मामा संग नगर्नुस् न धमला जी,2
301,गोकुल को राज निति चहि कता,2
302,70 करोडको चुरीफुरी यत्रो ?,2
303,"सब थोक गाली गर्छन् अहीले ,भोली आन्द्रा जोडछन् मुलाहरु",2
305,दलाल भगाउ देश बचाउ,2
306,70करोड त बाहिर आयो अझ यिनले कति खायो होला,2
307,यो नालायक ७० करोड कता बाट आयो,2
308,यो भतुवा 70 करोडलाई किन बेला बेला मा बोलाउछन मिडिया मा?,2
310,मलाई पनि चाईयो बोरा बोरा पैसा 🤣🤣,2
311,ए मा ले को चुनाव चिन्न्ह गोकुल बास्कोटा,2
312,70 करोडले ठुलो ठुलो कुरो गर्दै छ त,2
314,भरष्ट चारिका खलक हरु कति चुनाब चुनाब भनेको हो,2
315,डलर सन्चितित 70 मा भा छ,2
316,हेरौला रे 😁😁😁😁😁😁😁क्मेदी च्याम्पियन को जज मनोज सर ले यो सुनेर कमेन्ट गर्नु भो.....करोड 70 करोड ......त्यस पछि मेरो जो चोर उसैको ठुलो सोर।इनि भन्दा ठुलो चोर को होला? लाज सरम भन्ने छैन अझ ठुलो कुरा गर्छ जनताले मलाइ के भन्छ्न भन्ने पनि नहुने😁😁चुनाब जित्ने रे थु,2
317,70 carod खाएर ठूलो कुरा गर्छ,2
319,नक्कली टेप 😂😂😂,2
320,बोल्न चै निडर नेता हो गोकुल बास्कोटा ज्यु ।,2
321,फेरि यसको बर्वरोट सुरु भयो 😅😅😅😅😅,2
323,रा प्र पा संग सह यात्रा गर्छ एमाले ले,2
324,70 पछि अरु कति हो अब केही समय रोकिएकोमा किन रिसाउनु हुन्छ नेता ज्यु.,2
328,यो गोकुले को दिमागमा केही समस्या छ जस्तो छ,2
331,जनजाति जस्ता अहिलेसम्म दमनमा परेकाहरुलाइ कोटा छुटाउदा गाली गर्नेहरुले क्षमता नभएको मान्छे आउछन् रे तिमीहरूको नियम र कानुनले यस्तै क्षमता भएको मान्छे ल्याउछन।,2
332,पागलपना...,2
333,हेल्लो सत्तरी । के छ?,2
334,"सन्सार कै पहिलो नकचरो ,७० करोड प्रमाण सहित आउदा पनि यति धेरै घमण्ड । भ्रष्ट लाई के सजाय हुनुपर्छ भन्नुस साथी हो ?",2
336,ल हेर यस्को दम्भ,2
339,"बुढाले नि उखान टुक्का दिने रैछ,,",2
341,लाटा गाउको गाडा तन्नेरी नेता हरु,2
342,यिनै अनुहार अघि सारे एमाले पत्तासाफ निश्चित छ।,2
343,70 करोड कम भयो ?,2
346,70 करोडको मुसो,2
348,70 डाका,2
351,70 होइन अब ब्याज सहित 75पुगि सक्यो हो,2
353,"आज सम्म एमाले को सरकार भको भए लालपुर्जा पाईन्थ्यो होला, गठबंधन सरकार ले डुबायो।",2
355,सत्तरी करोडका एक्ला मालिक गोप्ले काजि ज्यु लाई सत्तरी पटक जदौ गर्दछु🤣🤣🤣🤣,2
356,काभेली जनता को ढुकढुकी आदरणीय ७० करोड (गाई को अनुहार परेको गोरु ),2
357,यो रिखी धमलाले सुर्जे र गोकुले बाहेक अरु गेस्ट पाउदैन,2
359,यस्ता नेता त पालेको छ केपि ओली ले,2
360,एमाले लाई यस्तै नेता भएर अब अर्को चुनावमा 50 सिट पनि आउदैन गफ मात्रै ठुलो गर्ने हो यिनले काम छैन नेपालका चोर नेताहरुको जनताको नाममा राजनीति गर्न छोडे हुन्छ अब जनता बुझ्ने भैसके चुनावमा एक एक हिसाब हुन्छ केपिको छोरो भएर हो जोगाको नत्र अरु भएको भए 70 करोड कान्डमा जरुर जेल जान्थे।,2
361,70 कुमार,2
362,चुनाव मा माकुनेको हालत के हुन्छ जन्तालाइ राम्रो थाछ १७000को त कुरानै नगरुम,2
365,माधब कुमारले चुनावजितेकाहुन् भने अब जितेर देखाउनु पर्याे ऋषि जि।पत्रकार जि सहि विश्लेषण गर्न तपाइलाइ केले छेकेकाे छ?खरखजना!!!!!!!,2
367,विदेशीको चम्चा,2
368,Yo ७९ करोड आयो फेरि आयो। घ म डी,2
369,हैन यो मान्छेलाइ किन जैल मा नकोचेको,2
370,७० करोड भ्रस्टाचार गर्नेको अन्तर्वार्ता के सुनिरहनु,2
371,"गोकुले लाई बोल्नु किना सरम लाग्दैन? 70 करोड भ्रष्टाचार ,कमिसन कान्ड प्रस्ट छ।।",2
372,सहि र हकि मानछे लागछ,2
373,पाध्छ अाज पनि   70 कराेड,2
374,70 करोड आवाज ल्याउनु बाहिरिनु कानुन सम्मत अनि चाहिँ माधब नेपाल कानुन बिपरित गरे के हो यो पारा फेरि म माधब नेपालको झोले हैन है झोले हरु,2
375,"आउलास भोट माग्न भ्रस्टचारी , 34:31 बाट भ्रस्टचारीको कुरो सुरु गर्छ धमलाले",2
376,"हेप्नि, काेल्याप्स लाई पनि 70 कराेड ले जिन्दगी भर सताई रहने भयाे🤣🤣🤣",2
377,70 करोड आधा आधा गरुम काका म कति बिदेश मा दुख गर्नु तपाई लाइ साथ दिन लाउछु सेटिङ मिलाउदै गर्नु म अझै समर्थन ल्याउछु नि उनिहरुलाइ नि भाग दिनु पर्यो नि,2
380,"सबै भन्दा पहिला ७०कोरोड बेक्तिले राजीनामा दिनुपर्छ एमालेलाई राम्रो बनाउनको लागि, एमालेमा राम्रा मान्छेहरू पनि धेरै छन् यस्ता ",2
381,भष्ट्रचारीनेतालाई तुरुन्तै बर्खास्त गर्नुपर्छㅣ,2
382,ऋषि धमला काङ्ग्रेसको मान्छे भएरहाेला खालि शेरबहादुर काे मात्र कुरा गर्छन्,2
383,रिसि धमला काईते पत्रकार भयो। खालि प्रचन्ड र माकुनेको पक्षमा मात्र बोल्छ।।पत्रकारत जनताको पक्षमा हुनुपर्छनि,2
384,खरो र प्रष्ट ठेट कुरो गर्ने संकाहा नेता गकुल बास्कोटा,2
386,७० करोडको मालिक लाई कस्तो कस्तो कमेन्ट् आएको छ भनेर हेर्न आउने को को हुनुहुन्छ 🤟🤟🤟,2
387,अहिले आफुले फेरि 70 करोड झ्वाम पार्न नपाएर रिसाउदै छ भतुवा,2
388,अलि राम्रो मान्छेहरुलाई लिएर interviwer गनुहोला,2
390,मैले कति भनौ के भन्या किसान मजदुरलाई ल्याउनुस के,2
391,भ्रस्टाचार नेतहारुलाई किन ल्याउनु अनि किन सोद्नु 70 करोड भनेर न सोद्नेलाई लाज न गर्नेलाई लाज,2
393,दिमाक तातेर आउछ भन्या यसको कुरा सुन्दा ।,2
394,नेपाली राजनीतिको हक्की नेता गोकुल बास्कोटा  रहेछ भन्ने कुरा थाहा भयो है।खुलम खुल्ला  च्यालेन्ज गर्दा पनि किन छानवीन नगर्या होला सरकार?,2
395,याे चाेरलाई के थाहा प्रचण्डले गर्दा खुलेआम सबैकाे बिराेध गर्नपाकाे छु भनेर।,2
397,हिजो एमाले राजनीति मा हिरो थ्यो अब विस्तार मा खस्किदैछ किनकि एमालेको प्रमुख केपि स्वमं आफ्नो सत्ता को लागि जे जस्तो रणनीतिज्ञ योजना अपनाउन सक्ने रहेछ। यो कायर देशद्रोही केपि आज mcc पक्ष मा ओकालत र द्रुष्ठ योजना परिकल्पना गर्दैछ।,2
401,ऋषि धमलाको पत्रकारिता सकियो जस्तो लाग्छ गठवन्धनको कार्यकर्ता जसरी वकालत गर्न थालेको देखिन्छ😆😆😆,2
402,तेरो बाउ ओलिले त संविधानमै नभाको 2  चोटि सानसाद विघटन  गरेर  लोकत्रन्त धोस्त पार्न खोज्ने अपराधी हैन ।।,2
403,Kp को पालामा पहिला पहिला त खुब खेदो खन्थ्यो त खोई विकास गर्या भनेर त्यो विकास नदेख्ने आँखाले ऋषिको अनि अहिले को सरकारले के गर्यो त खोई ??? अहिले जताततै धूलो अनि कच्ची सडक omg ..पहिला त एउटा खाल्डो देख्न नहुने सामाजिक सञ्जाल मा खुब देखिन्थ्यो त अहिले खोई त बोल्या धमला jiiiiiiiiiii ????? खुडेले सुसल्ने हाम्रो देश के भन्ने यस्तालाई ।,2
407,गोकुल बास्कोटा दि लेजेन्ड😆,2
411,mcc को लागि खोलेर बोल्ने महान नेता,2
412,ब्याटल पछि LIVE ROUND मा प्रवेश गरेको छु । मलाई आशा छ तपाईहरुले मलाई vote गर्नु हुनेछ । र finale सम्म पुराउनु हुनेछ ।,2
413,यो धमलाले हावाहावा हेडलाईन लेख्छ भन्या😜भीम रावलले कहिँकतै नयाँ पार्टी खोल्ने कुरा गरेको त सुनिएन त🤔,2
414,राजनिमा पदमा बसेर मात्रै आफ्ना राजनितिक कार्यक्रम गर्न सकिन्छ भनने लाई गतिलाे उदाहरण हाे💐💐💐,2
415,भिम रावल को महान बिचार छ। यो फिर्ता हुनु पर्छ जनता सडक मा आइसके एसले कसैलाइ पनि फाइदा गर्दैन,2
416,mcc जसरिनि खारेजगर्नुस,2
417,पदकाे पछिनलाग्नुस,2
418,अहिले को अबस्थामा मा जुन सुकै पार्टी का भएनी  डा भिम रावल महान नेता हुन,2
419,"अबको नेपालमा भिम रावल जस्ता बिचारशील, देश भक्ति, स्वाभिमानी, निस्वार्थि, निडर, बिकासवादी, जनप्रेमी, नेताको आवश्यक छ । अब प्रधानमन्त्री भिम रावल लाई बनाउनुपर्छ । मलाई मन पर्ने एक मात्र नेता डा: भिम रावल । सलाम छ डा: भिम रावल जनता सधैँ हजुरको साथमा छौ । 💕💕💕💕",2
420,कुनै ..जी गरे पनी गलत हो wow भिम सर 🙏🙏,2
421,नेपाल आमाको असल सन्तान सुदुरपश्चिमको खम्बा अनि उदाउँदो तारा डा भिम रावल जि लाई सलाम,2
422,"अरू कुरा त्यस्तै हाे, भाेलि बिहान एमसिसि सम्बन्धि भिम रावललाई पावर पाेइन्ट प्रस्तुत गर्न दिनुभयो भने ऋषि धमला जी काे पत्रकारीताकाे अर्काे उचाइ थपिने पक्का छ ।",2
423,यो रिष धमला पत्रकार होकि राजनीति गर्ने पत्रकार हो यत्रो बरिस्ठ पत्रकार भएर mcc बारे जानकारी न लिने यो पत्रकार हुनै  सक्दैन,2
424,"कति ठूलो निरंकुशता रहेछ,भन्ने कुरा प्रष्ट भयो।",2
425,डाक्टर भिम रावल तपाइँलाई जनताको सदैव साथ मिल्ने छ यसरी नै राष्ट्रीयता र जनताको पक्षमा अडान राख्नुहोला इतिहासले तपाइको मुल्याङ्कन गर्ने छ।के पि ओलि कम्पनिले पाखा लगाए पनि हतास नहुनुहोला।,2
426,धमला बौलाहा भए यो कि किन एस्तो बिलिरा छ डाका,2
428,भिम रावल जि एक हिम्मत वाला लिंडर हुन पार्टी मा बनी रहनुपर्छ पर्छ जनता साथ छ,2
430,अहिलेको आवस्थामा भिम रावललाई साथ दिन जरूर छ नेपाली जनताले..No MCc,2
